DEPTH_LSF,UCAV,GR_RAB,GRMA,RHON,BPHI,TNPH,RES_BD,P16B,A40B,VSH,VCO
0.0129,,5.399876,,,,,,,,,
0.0332,,5.6722135,,,,,,,,,1473.2
0.0434,,5.944551,,,,,,,,,1472.65
0.0739,,6.488374,,,,,,,,,1472.1
0.1044,,7.03196,,,,,,,,,1471.55
0.1348,8.671005,7.57595,,1.402081,,,0.2832057,0.6091384,0.5914746,,1471.0
0.1653,8.691047166666666,8.599414,,1.3993516666666665,,,0.28327763333333333,0.6122119333333333,0.5969666833333334,,1470.45
0.1856,8.711089333333332,9.109899500000001,,1.3966223333333332,,,0.28334956666666666,0.6152854666666666,0.6024587666666666,,1469.9
0.1958,8.731131499999998,9.620385,,1.3938929999999998,,,0.2834215,0.618359,0.6079508499999999,,1469.05
0.2263,8.751173666666666,10.64181,,1.3911636666666667,,,0.2834934333333333,0.6214325333333334,0.6134429333333333,,1468.2
0.2568,8.771215833333333,11.66278,,1.3884343333333333,,,0.28356536666666665,0.6245060666666666,0.6189350166666667,,1467.35
0.2872,8.791258,12.68741,,1.385705,,,0.2836373,0.6275796,0.6244271,,1466.5000000000002
0.3177,8.865070999999999,14.24103,,1.3811688333333332,,,0.29461988333333333,0.6303495666666666,0.6312804666666667,,1465.65
0.338,8.938884,15.0175,,1.3766326666666666,,,0.30560246666666663,0.6331195333333334,0.6381338333333333,,1464.8000000000002
0.3482,9.012697,15.79397,,1.3720965,,,0.31658505,0.6358895,0.6449872,,1464.5333333333335
0.3787,9.086509999999999,17.34759,,1.3675603333333333,,,0.32756763333333333,0.6386594666666666,0.6518405666666667,,1464.2666666666669
0.4092,9.160323,18.90054,,1.3630241666666665,,,0.3385502166666666,0.6414294333333334,0.6586939333333333,,1464.0
0.4396,9.234136,20.45794,1.550004,1.358488,78.2805,76.583,0.3495328,0.6441994,0.6655473,,1463.7333333333333
0.4701,9.226415666666666,22.34112,1.891901,1.3577791666666665,78.02661666666667,75.99733333333333,0.3635018666666666,0.64748155,0.6718749666666666,,1463.4666666666667
0.4904,9.218695333333333,23.282294999999998,2.0627745,1.3570703333333334,77.77273333333333,75.41166666666666,0.3774709333333333,0.6507637,0.6782026333333333,,1463.2
0.5006,9.210975,24.22347,2.233648,1.3563615,77.51885,74.826,0.39144,0.65404585,0.6845303,,1463.1833333333334
0.5311,9.203254666666666,26.10665,2.575546,1.3556526666666666,77.26496666666667,74.24033333333334,0.40540906666666665,0.657328,0.6908579666666667,,1463.1666666666667
0.5616,9.195534333333333,27.99277,2.917978,1.3549438333333335,77.01108333333333,73.65466666666667,0.4193781333333333,0.66061015,0.6971856333333333,,1463.15
0.592,9.187814,29.8743,3.260399,1.354235,76.7572,73.069,0.4333472,0.6638923,0.7035133,,1463.1333333333334
0.6225,9.134449833333333,30.8773,3.882167,1.3566551666666666,77.72616666666667,75.51173333333334,0.44432099999999997,0.6670510833333333,0.7097496666666667,,1463.1166666666666
0.6428,9.081085666666667,31.37858,4.1929145000000005,1.3590753333333334,78.69513333333333,77.95446666666666,0.4552948,0.6702098666666667,0.7159860333333333,,1463.1000000000001
0.653,9.0277215,31.87986,4.503662,1.3614955000000002,79.66409999999999,80.3972,0.46626860000000003,0.67336865,0.7222223999999999,,1463.1166666666666
0.6835,8.974357333333334,32.88285,5.12543,1.3639156666666667,80.63306666666666,82.83993333333333,0.4772424,0.6765274333333333,0.7284587666666666,,1463.1333333333334
0.714,8.920993166666667,33.88742,5.748169,1.3663358333333333,81.60203333333334,85.28266666666666,0.4882162,0.6796862166666667,0.7346951333333334,,1463.15
0.7444,8.867629,34.88909,6.369422,1.368756,82.571,87.7254,0.49919,0.682845,0.7409315,,1463.1666666666667
0.7749,8.871357,35.1163,6.690857,1.3737411666666668,81.48341666666667,85.53448333333333,0.5020788,0.6909736,0.7456376333333333,,1463.1833333333334
0.7952,8.875085,35.229855,6.8515035,1.3787263333333335,80.39583333333333,83.34356666666666,0.5049676,0.6991022,0.7503437666666667,,1463.2
0.8054,8.878813000000001,35.34341,7.01215,1.3837115,79.30825,81.15265,0.5078564,0.7072308,0.7550499,,1463.4666666666667
0.8359,8.882541,35.57062,7.333585,1.3886966666666667,78.22066666666667,78.96173333333333,0.5107452,0.7153594,0.7597560333333333,,1463.7333333333333
0.8664,8.886268999999999,35.79818,7.655522,1.3936818333333334,77.13308333333333,76.77081666666666,0.5136339999999999,0.7234879999999999,0.7644621666666667,,1464.0000000000002
0.8968,8.889997,36.02594,7.97659,1.398667,76.0455,74.5799,0.5165228,0.7316166,0.7691683,,1464.2666666666669
0.9273,8.886352333333333,36.60112,8.062604,1.4055378333333335,75.73888333333333,74.39616666666666,0.5329167166666666,0.736564,0.77590245,,1464.5333333333335
0.9476,8.882707666666667,36.88859,8.1055925,1.4124086666666666,75.43226666666666,74.21243333333334,0.5493106333333333,0.7415113999999999,0.7826366,,1464.8000000000002
0.9578,8.879062999999999,37.17606,8.148581,1.4192795,75.12565000000001,74.0287,0.56570455,0.7464588,0.78937075,,1465.65
0.9883,8.875418333333332,37.75125,8.234593,1.4261503333333334,74.81903333333334,73.84496666666666,0.5820984666666666,0.7514062,0.7961049,,1466.5000000000002
1.0188,8.871773666666666,38.32734,8.320742,1.4330211666666666,74.51241666666667,73.66123333333334,0.5984923833333333,0.7563536,0.80283905,,1467.3500000000001
1.0492,8.868129,38.90244,8.406051,1.439892,74.2058,73.4775,0.6148863,0.761301,0.8095732,,1468.2
1.0797,8.876265333333333,39.4142,7.988384,1.4490428333333334,73.60615,72.83413333333334,0.6104150833333333,0.7684932666666666,0.8145631,,1469.05
1.1,8.884401666666667,39.669975,7.779642,1.4581936666666666,73.0065,72.19076666666668,0.6059438666666667,0.7756855333333333,0.819553,,1469.9
1.1102,8.892538,39.92575,7.5709,1.4673444999999998,72.40685,71.54740000000001,0.60147265,0.7828778000000001,0.8245429,,1470.45
1.1407,8.900674333333333,40.43855,7.152397,1.4764953333333333,71.8072,70.90403333333333,0.5970014333333333,0.7900700666666667,0.8295328000000001,,1471.0
1.1712,8.908810666666668,40.95009,6.734914,1.4856461666666667,71.20755,70.26066666666667,0.5925302166666666,0.7972623333333333,0.8345227000000001,,1471.5500000000002
1.2016,8.916947,41.46163,6.319276,1.494797,70.6079,69.6173,0.588059,0.8044546,0.8395126,,1472.1
1.2321,8.9238105,41.78713,7.536155,1.5019366666666667,69.76796666666667,68.4337,0.574244,0.8111646333333333,0.8438149833333334,,1472.65
1.2524,8.930674,41.949805,8.144328,1.5090763333333332,68.92803333333333,67.2501,0.560429,0.8178746666666666,0.8481173666666667,,1473.2
1.2626,8.9375375,42.11248,8.752501,1.516216,68.0881,66.0665,0.546614,0.8245847,0.85241975,,1474.0666666666666
1.2931,8.944401000000001,42.43863,9.971813,1.5233556666666668,67.24816666666666,64.8829,0.532799,0.8312947333333334,0.8567221333333334,,1474.9333333333334
1.3236,8.9512645,42.76398,11.18816,1.5304953333333333,66.40823333333333,63.6993,0.518984,0.8380047666666667,0.8610245166666667,,1475.8
1.354,8.958128,43.08964,12.40496,1.537635,65.5683,62.5157,0.505169,0.8447148,0.8653269,,1476.6666666666665
1.3845,8.972554666666667,43.5563,13.54611,1.5451445000000001,65.08013333333332,62.0369,0.52504275,0.8557547333333333,0.8721880666666667,,1477.5333333333333
1.4048,8.986981333333334,43.79,14.117585,1.552654,64.59196666666666,61.5581,0.5449165,0.8667946666666667,0.8790492333333333,,1478.3999999999999
1.415,9.001408,44.0237,14.68906,1.5601635,64.10379999999999,61.0793,0.56479025,0.8778346,0.8859104,,1478.9666666666665
1.4455,9.015834666666667,44.49036,15.83022,1.567673,63.61563333333333,60.6005,0.584664,0.8888745333333333,0.8927715666666667,,1479.5333333333333
1.476,9.030261333333334,44.95682,16.97088,1.5751825,63.12746666666666,60.1217,0.60453775,0.8999144666666667,0.8996327333333333,,1480.1
1.5064,9.044688,45.42294,18.11183,1.582692,62.6393,59.6429,0.6244115,0.9109544,0.9064939,,1480.6666666666665
1.5369,9.108395666666667,45.30009,19.02659,1.5871073333333334,63.474666666666664,61.48198333333333,0.6409138833333333,0.9222119000000001,0.9126516499999999,,1481.2333333333333
1.5572,9.172103333333334,45.238564999999994,19.484685,1.5915226666666666,64.31003333333334,63.32106666666667,0.6574162666666666,0.9334694,0.9188094,,1481.8
1.5674,9.235811,45.17704,19.94278,1.5959379999999999,65.1454,65.16015,0.67391865,0.9447269,0.92496715,,1482.9833333333333
1.5979,9.299518666666666,45.05419,20.85753,1.6003533333333333,65.98076666666667,66.99923333333334,0.6904210333333334,0.9559844000000001,0.9311248999999999,,1484.1666666666667
1.6284,9.363226333333333,44.9314,21.77189,1.6047686666666667,66.81613333333333,68.83831666666667,0.7069234166666667,0.9672419,0.93728265,,1485.35
1.6588,9.426934,44.8082,22.68578,1.609184,67.6515,70.6774,0.7234258,0.9784994,0.9434404,,1486.5333333333333
1.6893,9.393429,44.2371,22.45876,1.612036,66.992,69.53005,0.7212662666666667,0.984751,0.9490898333333333,,1487.7166666666665
1.7096,9.359924,43.95111,22.345075,1.6148879999999999,66.3325,68.3827,0.7191067333333333,0.9910026,0.9547392666666666,,1488.8999999999999
1.7198,9.326419,43.66512,22.23139,1.61774,65.673,67.23535000000001,0.7169472,0.9972542,0.9603887,,1490.65
1.7503,9.292914,43.09402,22.00437,1.620592,65.0135,66.08800000000001,0.7147876666666667,1.0035058,0.9660381333333333,,1492.3999999999999
1.7808,9.259409,42.52318,21.77746,1.6234439999999999,64.354,64.94065,0.7126281333333333,1.0097574,0.9716875666666667,,1494.1499999999999
1.8112,9.225904,41.95258,21.55041,1.626296,63.6945,63.7933,0.7104686,1.016009,0.977337,,1495.9
1.8417,9.219816333333334,42.19719,21.27205,1.6260916666666667,63.130916666666664,62.775150000000004,0.71020805,1.0182561666666667,0.9811546666666666,,1497.65
1.862,9.213728666666666,42.319685,21.132649999999998,1.6258873333333332,62.56733333333333,61.757,0.7099475,1.0205033333333333,0.9849723333333333,,1499.4
1.8722,9.207640999999999,42.44218,20.99325,1.625683,62.003750000000004,60.73885,0.7096869499999999,1.0227505,0.9887900000000001,,1502.3666666666666
1.9027,9.201553333333333,42.68679,20.71489,1.6254786666666667,61.44016666666667,59.7207,0.7094264,1.0249976666666667,0.9926076666666667,,1505.3333333333335
1.9332,9.195465666666667,42.93129,20.43665,1.6252743333333333,60.876583333333336,58.702549999999995,0.70916585,1.0272448333333335,0.9964253333333333,,1508.3000000000002
1.9636,9.189378,43.17605,20.15838,1.62507,60.313,57.6844,0.7089053,1.029492,1.000243,,1511.2666666666667
1.9941,9.197278333333333,43.75136,20.0916,1.6291333333333333,59.91641666666667,57.20806666666667,0.7054267166666667,1.038975,1.0103406666666666,,1514.2333333333333
2.0144,9.205178666666667,44.03832,20.058284999999998,1.6331966666666666,59.51983333333334,56.73173333333333,0.7019481333333333,1.0484580000000001,1.0204383333333333,,1517.2
2.0246,9.213078999999999,44.32528,20.02497,1.6372600000000002,59.123250000000006,56.255399999999995,0.69846955,1.057941,1.0305360000000001,,1521.15
2.0551,9.220979333333332,44.89944,19.95833,1.6413233333333335,58.72666666666667,55.779066666666665,0.6949909666666667,1.067424,1.0406336666666667,,1525.1000000000001
2.0856,9.228879666666666,45.47335,19.8917,1.6453866666666668,58.330083333333334,55.302733333333336,0.6915123833333333,1.076907,1.0507313333333332,,1529.05
2.116,9.23678,46.04739,19.82528,1.64945,57.9335,54.8264,0.6880338,1.08639,1.060829,,1533.0
2.1465,9.224773333333333,46.19199,20.54047,1.6504096666666668,58.499500000000005,55.84415,0.6995568166666667,1.0881806666666667,1.0677053333333333,,1536.95
2.1668,9.212766666666667,46.264115,20.897195,1.6513693333333335,59.0655,56.8619,0.7110798333333334,1.0899713333333334,1.0745816666666668,,1540.8999999999999
2.177,9.200759999999999,46.33624,21.25392,1.6523290000000002,59.6315,57.87965,0.72260285,1.091762,1.081458,,1544.0166666666667
2.2075,9.188753333333333,46.48055,21.96769,1.6532886666666666,60.197500000000005,58.8974,0.7341258666666667,1.0935526666666666,1.0883343333333333,,1547.1333333333332
2.238,9.176746666666666,46.62479,22.68114,1.6542483333333333,60.7635,59.91515,0.7456488833333333,1.0953433333333333,1.0952106666666668,,1550.25
2.2684,9.16474,46.77017,23.39613,1.655208,61.3295,60.9329,0.7571719,1.097134,1.102087,,1553.3666666666668
2.2989,9.1579495,47.27986,24.0181,1.6559293333333334,60.70196666666667,59.88783333333333,0.79858775,1.1035786666666667,1.1090955,,1556.4833333333333
2.3192,9.151159,47.534589999999994,24.32895,1.6566506666666667,60.07443333333334,58.84276666666666,0.8400036000000001,1.1100233333333334,1.116104,,1559.6000000000001
2.3294,9.144368499999999,47.78932,24.6398,1.657372,59.4469,57.7977,0.88141945,1.116468,1.1231125000000002,,1561.2
2.3599,9.137578,48.299,25.26176,1.6580933333333332,58.81936666666667,56.752633333333335,0.9228353,1.1229126666666667,1.1301210000000002,,1562.8
2.3904,9.1307875,48.80847,25.88346,1.6588146666666665,58.191833333333335,55.707566666666665,0.9642511500000001,1.1293573333333333,1.1371295000000001,,1564.4
2.4208,9.123997,49.32003,26.50686,1.659536,57.5643,54.6625,1.005667,1.135802,1.144138,,1566.0
2.4513,9.121152499999999,50.26265,27.22151,1.658258,58.464150000000004,56.18398333333334,0.9787607166666668,1.13944,1.148377,,1567.6
2.4716,9.118307999999999,50.73375,27.57868,1.65698,59.364000000000004,57.705466666666666,0.9518544333333334,1.143078,1.152616,,1569.1999999999998
2.4818,9.1154635,51.20485,27.93585,1.6557019999999998,60.26385,59.22695,0.9249481500000001,1.146716,1.1568550000000002,,1569.2166666666667
2.5123,9.112619,52.14746,28.65051,1.654424,61.1637,60.74843333333334,0.8980418666666666,1.1503539999999999,1.161094,,1569.2333333333333
2.5428,9.1097745,53.09155,29.36628,1.653146,62.06355,62.26991666666667,0.8711355833333333,1.153992,1.165333,,1569.2499999999998
2.5732,9.10693,54.03304,30.07907,1.651868,62.9634,63.7914,0.8442293,1.15763,1.169572,,1569.2666666666667
2.6037,9.093905166666667,54.3626,29.77058,1.6501166666666665,62.480199999999996,62.830200000000005,0.87692525,1.1547364999999998,1.1733186666666666,,1569.2833333333333
2.624,9.080880333333333,54.527305,29.616405,1.6483653333333332,61.997,61.869,0.9096212,1.151843,1.1770653333333334,,1569.3
2.6342,9.0678555,54.69201,29.46223,1.646614,61.5138,60.9078,0.9423171499999999,1.1489495,1.180812,,1568.033333333333
2.6647,9.054830666666668,55.02156,29.15374,1.6448626666666666,61.0306,59.946600000000004,0.9750131,1.146056,1.1845586666666665,,1566.7666666666667
2.6952,9.041805833333333,55.35163,28.84477,1.6431113333333331,60.547399999999996,58.9854,1.00770905,1.1431624999999999,1.1883053333333333,,1565.5
2.7256,9.028781,55.68003,28.53753,1.64136,60.0642,58.0242,1.040405,1.140269,1.192052,,1564.2333333333333
2.7561,9.062593,55.31056,28.98044,1.6386431666666665,60.468516666666666,58.60381666666667,1.0524451666666668,1.1336089999999999,1.1933593333333332,,1562.9666666666667
2.7764,9.096405,55.125905,29.2018,1.6359263333333334,60.87283333333333,59.18343333333333,1.0644853333333333,1.126949,1.1946666666666665,,1561.7
2.7866,9.130217,54.94125,29.42316,1.6332095,61.27715,59.76305,1.0765255,1.120289,1.195974,,1560.45
2.8171,9.164029,54.57177,29.86607,1.6304926666666666,61.681466666666665,60.342666666666666,1.0885656666666668,1.113629,1.1972813333333334,,1559.2
2.8476,9.197841,54.20173,30.30967,1.6277758333333334,62.08578333333333,60.92228333333333,1.1006058333333333,1.1069689999999999,1.1985886666666667,,1557.95
2.878,9.231653,53.83216,30.75256,1.625059,62.4901,61.5019,1.112646,1.100309,1.199896,,1556.7
2.9085,9.213352833333333,53.40026,31.18364,1.6238376666666667,62.812266666666666,62.03621666666667,1.1146598333333333,1.092769,1.2003178333333333,,1555.45
2.9288,9.195052666666667,53.1844,31.399079999999998,1.6226163333333334,63.134433333333334,62.57053333333334,1.1166736666666668,1.085229,1.2007396666666668,,1554.2
2.939,9.176752500000001,52.96854,31.61452,1.621395,63.4566,63.10485,1.1186875,1.077689,1.2011615,,1554.2
2.9695,9.158452333333333,52.53664,32.0456,1.6201736666666666,63.77876666666667,63.63916666666667,1.1207013333333333,1.070149,1.2015833333333332,,1554.2
3.0,9.140152166666667,52.10406,32.47734,1.6189523333333333,64.10093333333333,64.17348333333334,1.1227151666666668,1.0626090000000001,1.2020051666666667,,1554.2
3.0304,9.121852,51.67237,32.90813,1.617731,64.4231,64.7078,1.124729,1.055069,1.202427,,1554.2
3.0609,9.0797225,51.39603,33.13231,1.6151063333333333,63.737883333333336,63.35945,1.0781479,1.0394746833333333,1.2063435,,1554.2
3.0812,9.037593000000001,51.257925,33.244344999999996,1.6124816666666666,63.05266666666667,62.011100000000006,1.0315668,1.0238803666666667,1.21026,,1554.2
3.0914,8.9954635,51.11982,33.35638,1.6098569999999999,62.367450000000005,60.66275,0.9849857000000001,1.0082860500000002,1.2141765,,1555.15
3.1219,8.953334,50.84293,33.581,1.6072323333333334,61.682233333333336,59.3144,0.9384046,0.9926917333333334,1.218093,,1556.1000000000001
